English Word,French Translation,Type,Meaning 
Genteelness,gentillesse,n.,The quality of being genteel.
Genterie,Genterie,n.,Alt. of Gentrie
Gentrie,Gentrie,n.,Nobility of birth or of character; gentility.
Gentian,Gentiane,n.,"Any one of a genus (Gentiana) of herbaceous plants with opposite leaves and a tubular four- or five-lobed corolla, usually blue, but sometimes white, yellow, or red. See Illust. of Capsule."
Gentianaceous,Gentiane,a.,Of or pertaining to a natural order of plants (Gentianaceae) of which the gentian is the type.
Gentianella,Gentianelle,n.,A kind of blue color.
Gentianic,Gentiane,a.,"Pertaining to or derived from the gentian; as, gentianic acid."
Gentianine,Gentianine,n.,"A bitter, crystallizable substance obtained from gentian."
Gentianose,Gentianose,n.,"A crystallizable, sugarlike substance, with a slightly sweetish taste, obtained from the gentian."
Gentil,gentil,a. & n.,Gentle.
Gentile,Gentil,a.,One of a non-Jewish nation; one neither a Jew nor a Christian; a worshiper of false gods; a heathen.
Gentile-falcon,Gentil-faucon,n.,See Falcon-gentil.
Gentilesse,Gentilesse,a.,Gentleness; courtesy; kindness; nobility.
Gentilish,Gentil,a.,Heathenish; pagan.
Gentilism,Gentilisme,n.,Hethenism; paganism; the worship of false gods.
Gentilitial,Gentiltial,a.,Alt. of Gentilitious
Gentilitious,Gentil,a.,Peculiar to a people; national.
Gentility,la douceur,n.,Good extraction; dignity of birth.
Gentilize,Gentiliser,v. i.,To live like a gentile or heathen.
Gentilly,Gentilly,a.,In a gentle or hoble manner; frankly.
Gentiopikrin,Gentiopikrine,n.,"A bitter, yellow, crystalline substance, regarded as a glucoside, and obtained from the gentian."
Gentisin,gentisine,n.,"A tasteless, yellow, crystalline substance, obtained from the gentian; -- called also gentianin."
Gentle,Doux,superl.,"Well-born; of a good family or respectable birth, though not noble."
Gentlefolk,gentilhomme,n. pl.,Alt. of Gentlefolks
Gentlefolks,Nobles,n. pl.,Persons of gentle or good family and breeding.
Gentle-hearted,Douceur de cœur,a.,Having a kind or gentle disposition.
Gentlemen,Messieurs,pl. ,of Gentleman
Gentleman,Gentleman,n.,A man well born; one of good family; one above the condition of a yeoman.
Gentlemanhood,Gentlemanhood,n.,The qualities or condition of a gentleman.
Gentlemanlike,Gentlemanlike,a.,Alt. of Gentlemanly
Gentlemanly,Gentleman,a.,"Of, pertaining to, resembling, or becoming, a gentleman; well-behaved; courteous; polite."
Gentlemanliness,la gentillesse,n.,The state of being gentlemanly; gentlemanly conduct or manners.
Gentlemanship,Gentlemanship,n.,The carriage or quality of a gentleman.
Gentleness,Douceur,n.,"The quality or state of being gentle, well-born, mild, benevolent, docile, etc.; gentility; softness of manners, disposition, etc.; mildness."
Gentleship,la douceur,n.,The deportment or conduct of a gentleman.
Gentlesse,douceur,n.,Gentilesse; gentleness.
Gentlewomen,Messieurs,pl. ,of Gentlewoman
Gentlewoman,Gentilhomme,n.,A woman of good family or of good breeding; a woman above the vulgar.
Gently,Doucement,adv.,In a gentle manner.
Gentoos,Gentoos,pl. ,of Gentoo
Gentoo,Gentoo,n.,A native of Hindostan; a Hindoo.
Gentry,Noblesse,a.,Birth; condition; rank by birth.
Genty,Genty,a.,Neat; trim.
Genua,Gênes,pl. ,of Genu
Genu,Genu,n.,The knee.
Genuflected,génuflé,imp. & p. p.,of Genuflect
Genuflecting,génuflexion,p. pr. & vb. n.,of Genuflect
Genuflect,génuflexion,v. i.,"To bend the knee, as in worship."
Genuflection,Génuflexion,n.,"The act of bending the knee, particularly in worship."
Genuine,Authentique,a.,"Belonging to, or proceeding from, the original stock; native; hence, not counterfeit, spurious, false, or adulterated; authentic; real; natural; true; pure; as, a genuine text; a genuine production; genuine materials."
Genus,Genre,n.,"A class of objects divided into several subordinate species; a class more extensive than a species; a precisely defined and exactly divided class; one of the five predicable conceptions, or sorts of terms."
Genys,Genys,n.,See Gonys.
Geocentric,Géocentrique,a.,Alt. of Geocentrical
Geocentrical,Géocentrique,a.,"Having reference to the earth as center; in relation to or seen from the earth, -- usually opposed to heliocentric, as seen from the sun; as, the geocentric longitude or latitude of a planet."
Geocentrically,Géocentriquement,adv.,In a geocentric manner.
Geocronite,Géocronite,n.,"A lead-gray or grayish blue mineral with a metallic luster, consisting of sulphur, antimony, and lead, with a small proportion of arsenic."
Geocyclic,Géocyclique,a.,"Of, pertaining to, or illustrating, the revolutions of the earth; as, a geocyclic machine."
Geode,Géode,n.,"A nodule of stone, containing a cavity, lined with crystals or mineral matter."
Geodephagous,Géodéphage,a.,Living in the earth; -- applied to the ground beetles.
Geodesic,Géodésique,a.,Alt. of Geodesical
Geodesical,Géodésique,a.,Of or pertaining to geodesy; geodetic.
Geodesist,Géodésiste,n.,One versed in geodesy.
Geodesy,Géodésie,n.,"That branch of applied mathematics which determines, by means of observations and measurements, the figures and areas of large portions of the earth's surface, or the general figure and dimenshions of the earth; or that branch of surveying in which the curvature of the earth is taken into account, as in the surveys of States, or of long lines of coast."
Geodetic,Géodésique,a.,Alt. of Geodetical
Geodetical,Géodésique,a.,"Of or pertaining to geodesy; obtained or determined by the operations of geodesy; engaged in geodesy; geodesic; as, geodetic surveying; geodetic observers."
Geodetically,Géodésiquement,adv.,In a geodetic manner; according to geodesy.
Geodetics,Géodésie,n.,Same as Geodesy.
Geodiferous,Géodifère,a.,Producing geodes; containing geodes.
Geoduck,panope,n.,"A gigantic clam (Glycimeris generosa) of the Pacific coast of North America, highly valued as an article of food."
Geognosis,Géognosie,n.,Knowledge of the earth.
Geognost,Géognost,n.,One versed in geognosy; a geologist.
Geognostic,Géognostique,a.,Alt. of Geognostical
Geognostical,Géognostique,a.,"Of or pertaining to geognosy, or to a knowledge of the structure of the earth; geological."
Geognosy,Géognosie,n.,"That part of geology which treats of the materials of the earth's structure, and its general exterior and interior constitution."
Geogonic,Géogonique,a.,Alt. of Geogonical
Geogonical,Géogonique,a.,"Of or pertaining to geogony, or to the formation of the earth."
Geogony,Géogonie,n.,The branch of science which treats of the formation of the earth.
Geographer,Géographe,n.,One versed in geography.
Geographic,Géographique,a.,Alt. of Geographical
Geographical,Géographique,a.,Of or pertaining to geography.
Geographically,Géographiquement,adv.,In a geographical manner or method; according to geography.
Geographies,Géographies,pl. ,of Geography
Geography,Géographie,n.,"The science which treats of the world and its inhabitants; a description of the earth, or a portion of the earth, including its structure, fetures, products, political divisions, and the people by whom it is inhabited."
Geolatry,Géolatrie,n.,The worship of the earth.
Geologer,Géologue,n.,Alt. of Geologian
Geologian,géologue,n.,A geologist.
Geologic,Géologique,a.,Alt. of Geological
Geological,Géologique,a.,"Of or pertaining to geology, or the science of the earth."
Geologically,Géologiquement,adv.,In a geological manner.
Geologist,Géologue,n.,One versed in the science of geology.
Geologized,Géologisé,imp. & p. p.,of Geologize
Geologizing,Géologiser,p. pr. & vb. n.,of Geologize
Geologize,Géologiser,v. i.,To study geology or make geological investigations in the field; to discourse as a geologist.
Geologies,Géologies,pl. ,of Geology
Geology,Géologie,n.,"The science which treats: (a) Of the structure and mineral constitution of the globe; structural geology. (b) Of its history as regards rocks, minerals, rivers, valleys, mountains, climates, life, etc.; historical geology. (c) Of the causes and methods by which its structure, features, changes, and conditions have been produced; dynamical geology. See Chart of The Geological Series."
Geomalism,Géomalisme,n.,"The tendency of an organism to respond, during its growth, to the force of gravitation."
Geomancer,Géomancien,n.,"One who practices, or is versed in, geomancy."
Geomancy,Géomancie,n.,"A kind of divination by means of figures or lines, formed by little dots or points, originally on the earth, and latterly on paper."
Geomantic,Géomantique,a.,Alt. of Geomantical
Geomantical,Géomantique,a.,Pertaining or belonging to geomancy.
Geometer,Géomètre,n.,One skilled in geometry; a geometrician; a mathematician.
Geometral,Géométrique,a.,Pertaining to geometry.
Geometric,Géométrique,a.,Alt. of Geometrical
Geometrical,Géométrique,a.,"Pertaining to, or according to the rules or principles of, geometry; determined by geometry; as, a geometrical solution of a problem."
Geometrically,Géométriquement,adv.,According to the rules or laws of geometry.
Geometrician,Géomètre,n.,One skilled in geometry; a geometer; a mathematician.
Geometrid,Géométrie,a.,Pertaining or belonging to the Geometridae.
Geometrized,Géométrisé,imp. & p. p.,of Geometrize
Geometrizing,Géométrisation,p. pr. & vb. n.,of Geometrize
Geometrize,Géométriser,v. i.,To investigate or apprehend geometrical quantities or laws; to make geometrical constructions; to proceed in accordance with the principles of geometry.
Geometries,Géométries,pl. ,of Geometry
Geometry,Géométrie,n.,"That branch of mathematics which investigates the relations, properties, and measurement of solids, surfaces, lines, and angles; the science which treats of the properties and relations of magnitudes; the science of the relations of space."
Geophagism,Géophagie,n.,"The act or habit of eating earth. See Dirt eating, under Dirt."
Geophagist,Géophage,n.,"One who eats earth, as dirt, clay, chalk, etc."
Geophagous,Géophage,a.,Earth-eating.
Geophila,Géophila,n. pl.,The division of Mollusca which includes the land snails and slugs.
Geoponic,Géoponique,a.,Alt. of Geoponical
Geoponical,Géoponique,a.,"Pertaining to tillage of the earth, or agriculture."
Geoponics,Géoponie,n.,The art or science of cultivating the earth; agriculture.
Georama,Géorama,n.,"A hollow globe on the inner surface of which a map of the world is depicted, to be examined by one standing inside."
Geordie,Géordie,n.,A name given by miners to George Stephenson's safety lamp.
George,George,n.,"A figure of St. George (the patron saint of England) on horseback, appended to the collar of the Order of the Garter. See Garter."
George noble,Georges noble,,"A gold noble of the time of Henry VIII. See Noble, n."
Georgian,géorgien,a.,"Of or pertaining to Georgia, in Asia, or to Georgia, one of the United States."
Georgic,Géorgique,a.,"A rural poem; a poetical composition on husbandry, containing rules for cultivating lands, etc.; as, the Georgics of Virgil."
Georgical,Géorgique,a.,Relating to agriculture and rural affairs.
Georgium Sidus,Géorgie Sidus,,"The planet Uranus, so named by its discoverer, Sir W. Herschel."
Geoscopy,Géoscopie,n.,"Knowledge of the earth, ground, or soil, obtained by inspection."
Geoselenic,Géosélénique,a.,"Pertaining to the earth and moon; belonging to the joint action or mutual relations of the earth and moon; as, geoselenic phenomena."
Geostatic,Géostatique,a.,Relating to the pressure exerted by earth or similar substance.
Geosynclinal,Géosynclinal,n.,"the downward bend or subsidence of the earth's crust, which allows of the gradual accumulation of sediment, and hence forms the first step in the making of a mountain range; -- opposed to geanticlinal."
Geothermometer,Géothermomètre,n.,A thermometer specially constructed for measuring temperetures at a depth below the surface of the ground.
Geotic,Géotique,a.,Belonging to earth; terrestrial.
Geotropic,Géotropique,a.,"Relating to, or showing, geotropism."
Geotropism,Géotropisme,n.,A disposition to turn or incline towards the earth; the influence of gravity in determining the direction of growth of an organ.
Gephyrea,Géphyrée,n. pl.,"An order of marine Annelida, in which the body is imperfectly, or not at all, annulated externally, and is mostly without setae."
Gephyrean,géphyrienne,a.,Belonging to the Gephyrea. -- n. One of the Gerphyrea.
Gephyreoid,géphyroïde,a. & n.,Gephyrean.
Gepound,Gépound,n.,See Gipoun.
Gerah,Gerah,n.,A small coin and weight; 1-20th of a shekel.
Geraniaceous,Géraniacé,a.,"Of or pertaining to a natural order of pants (Geraniaceae) which includes the genera Geranium, Pelargonium, and many others."
Geraniine,Géraniine,n.,Alt. of Geranine
Geranine,Géranine,n.,A valuable astringent obtained from the root of the Geranium maculatum or crane's-bill.
Geranium,Géranium,n.,"A genus of plants having a beaklike tours or receptacle, around which the seed capsules are arranged, and membranous projections, or stipules, at the joints. Most of the species have showy flowers and a pungent odor. Called sometimes crane's-bill."
Gerant,Gérant,n.,"The manager or acting partner of a company, joint-stock association, etc."
Gerbe,Gerbe,n.,A kind of ornamental firework.
Gerbil,Gerbille,n.,Alt. of Gerbille
Gerbille,Gerbille,n.,"One of several species of small, jumping, murine rodents, of the genus Gerbillus. In their leaping powers they resemble the jerboa. They inhabit Africa, India, and Southern Europe."
Gerboa,Gerboa,n.,The jerboa.
Gere,Gere,n.,Gear.
Gerent,Gérant,a.,Bearing; carrying.
Gerfalcon,Gerfaut,n.,See Gyrfalcon.
Gerful,Gerful,a.,Changeable; capricious.
Gerland,Gerland,n.,Alt. of Gerlond
Gerlond,Gerlond,n.,A garland.
Gerlind,Gerlind,n.,A salmon returning from the sea the second time.
Germ,Germe,n.,"That which is to develop a new individual; as, the germ of a fetus, of a plant or flower, and the like; the earliest form under which an organism appears."
Germain,Germain,a.,See Germane.
German,Allemand,a.,Nearly related; closely akin.
Germans,Allemands,pl. ,of German
Germander,Germandrée,n.,"A plant of the genus Teucrium (esp. Teucrium Chamaedrys or wall germander), mintlike herbs and low shrubs."
Germane,Allemande,a.,"Literally, near akin; hence, closely allied; appropriate or fitting; relevant."
Germanic,germanique,a.,"Pertaining to, or containing, germanium."
Germanism,germanisme,n.,An idiom of the German language.
Germanium,Germanium,n.,"A rare element, recently discovered (1885), in a silver ore (argyrodite) at Freiberg. It is a brittle, silver-white metal, chemically intermediate between the metals and nonmetals, resembles tin, and is in general identical with the predicted ekasilicon. Symbol Ge. Atomic weight 72.3."
Germanization,Germanisation,n.,The act of Germanizing.
Germanized,Germanisé,imp. & p. p.,of Germanize
Germanizing,Germanisation,p. pr.  & vb. n.,of Germanize
Germanize,germaniser,v. t.,"To make German, or like what is distinctively German; as, to Germanize a province, a language, a society."
Germarium,Germarium,n.,An organ in which the ova are developed in certain Turbellaria.
Germens,Allemands,pl. ,of Germen
Germina,Germine,pl. ,of Germen
Germen,Allemand,n.,See Germ.
Germicidal,Germicide,a.,Germicide.
Germicide,Germicide,a.,"Destructive to germs; -- applied to any agent which has a destructive action upon living germs, particularly bacteria, or bacterial germs, which are considered the cause of many infectious diseases."
Germinal,Germinal,a.,"Pertaining or belonging to a germ; as, the germinal vesicle."
Germinant,Germinant,a.,Sprouting; sending forth germs or buds.
Germinated,germé,imp. & p. p.,of Germinate
Germinating,Germination,p. pr. & vb. n.,of Germinate
Germinate,Germer,v. i.,"To sprout; to bud; to shoot; to begin to vegetate, as a plant or its seed; to begin to develop, as a germ."
Germination,Germination,n.,"The process of germinating; the beginning of vegetation or growth in a seed or plant; the first development of germs, either animal or vegetable."
Germinative,germinatif,a.,Pertaining to germination; having power to bud or develop.
Germiparity,Germiparité,n.,Reproduction by means of germs.
Germless,Sans germe,a.,Without germs.
Germogen,Germogène,n.,"A polynuclear mass of protoplasm, not divided into separate cells, from which certain ova are developed."
Germ plasm,Plasma germinatif,,"See Plasmogen, and Idioplasm."
Germule,germe,n.,A small germ.
Gern,Gern,v. t.,To grin or yawn.
Gerner,Gerner,n.,A garner.
Gerocomia,Gérocomie,n.,See Gerocomy.
Gerocomical,Gérocomique,a.,Pertaining to gerocomy.
Gerocomy,gérocomie,n.,That part of medicine which treats of regimen for old people.
Gerontes,Gérontes,n. pl.,"Magistrates in Sparta, who with the ephori and kings, constituted the supreme civil authority."
Gerontocracy,Gérontocratie,n.,Government by old men.
Geropigia,Geropigia,n.,"A mixture composed of unfermented grape juice, brandy, sugar, etc., for adulteration of wines."
Gerrymandered,Gerrymandered,imp. & p. p.,of Gerrymander
Gerrymandering,Charcutage électoral,p. pr. & vb. n.,of Gerrymander
Gerrymander,Faire du charcutage électoral,v. t.,"To divide (a State) into districts for the choice of representatives, in an unnatural and unfair way, with a view to give a political party an advantage over its opponent."
Gerund,Gérondif,n.,"A kind of verbal noun, having only the four oblique cases of the singular number, and governing cases like a participle."
Gerundial,Cadran gérondif,a.,"Pertaining to, or resembling, a gerund; as, a gerundial use."
Gerundive,Adjectif verbal,a.,"Pertaining to, or partaking of, the nature of the gerund; gerundial."
Gerundively,Gerundively,adv.,"In the manner of a gerund; as, or in place of, a gerund."
Gery,Gery,a.,Changeable; fickle.
Gesling,Gesling,n.,A gosling.
Gesse,Gesse,v. t. & i.,To guess.
Gest,Gest,n.,A guest.
Gestant,Gestant,a.,Bearing within; laden; burdened; pregnant.
Gestation,Gestation,n.,The act of wearing (clothes or ornaments).
Gestatory,Gestatoire,a.,Pertaining to gestation or pregnancy.
Geste,Geste,v. i.,To tell stories or gests.
Gestic,Gestique,a.,Pertaining to deeds or feats of arms; legendary.
Gesticulated,Gesticulé,imp. & p. p.,of Gesticulate
Gesticulating,Gesticuler,p. pr. & vb. n.,of Gesticulate
Gesticulate,Gesticuler,v. i.,"To make gestures or motions, as in speaking; to use postures."
Gesticulation,Gesticulation,n.,"The act of gesticulating, or making gestures to express passion or enforce sentiments."
Gesticulator,Gesticulateur,n.,One who gesticulates.
Gesticulatory,Gesticulatoire,a.,"Representing by, or belonging to, gestures."
Gestour,Gestour,n.,A reciter of gests or legendary tales; a story-teller.
Gestural,Gestuelle,a.,Relating to gesture.
Gesture,Geste,n.,Manner of carrying the body; position of the body or limbs; posture.
Gestured,Gestuelle,imp. & p. p.,of Gesture
Gesturing,Gestes,p. pr. & vb. n.,of Gesture
Gestureless,sans geste,a.,Free from gestures.
Gesturement,Geste,n.,Act of making gestures; gesturing.
Get,Avoir,n.,"Jet, the mineral."
Got,Eu,imp.,of Get
Gotten,Obtenu,,of Get
Getting,Obtenir,p. pr. & vb. n.,of Get
Geten,Geten,,p. p. of Get.
Geth,Geth,,the original third pers. sing. pres. of Go.
Get-penny,Obtenez-penny,n.,Something which gets or gains money; a successful affair.
Gettable,Obtenir,a.,That may be obtained.
Getter,Getter,n.,"One who gets, gains, obtains, acquires, begets, or procreates."
Getterup,Getterup,n.,"One who contrives, makes, or arranges for, anything, as a book, a machine, etc."
Get-up,Se lever,n.,"General composition or structure; manner in which the parts of a thing are combined; make-up; style of dress, etc."
Gewgaw,Babiole,n.,A showy trifle; a toy; a splendid plaything; a pretty but worthless bauble.
Geyser,Geyser,n.,"A boiling spring which throws forth at frequent intervals jets of water, mud, etc., driven up by the expansive power of steam."
Geyserite,Geysérite,n.,"A loose hydrated form of silica, a variety of opal, deposited in concretionary cauliflowerlike masses, around some hot springs and geysers."
Gharry,Gharry,n.,Any wheeled cart or carriage.
Ghast,Ghast,a.,To strike aghast; to affright.
Ghastful,Affreux,a.,Fit to make one aghast; dismal.
Ghastliness,L'horreur,n.,The state of being ghastly; a deathlike look.
Ghastly,Horrible,superl.,Like a ghost in appearance; deathlike; pale; pallid; dismal.
Ghastness,l'horreur,n.,Ghastliness.
Ghat,Ghat,n.,Alt. of Ghaut
Ghaut,Ghaut,n.,A pass through a mountain.
Ghawazi,Ghawazi,n. pl.,"Egyptian dancing girls, of a lower sort than the almeh."
Gheber Ghebre,Gheber Ghebre,n.,A worshiper of fire; a Zoroastrian; a Parsee.
Ghee,Ghee,n.,"Butter clarified by boiling, and thus converted into a kind of oil."
Gherkin,Cornichon,n.,"A kind of small, prickly cucumber, much used for pickles."
Ghess,Ghess,v. t. & i.,See Guess.
Ghetto,Ghetto,n.,The Jews'quarter in an Italian town or city.
Ghibelline,Gibelin,n.,"One of a faction in Italy, in the 12th and 13th centuries, which favored the German emperors, and opposed the Guelfs, or adherents of the poses."
Ghole,Ghole,n.,See Ghoul.
Ghost,Fantôme,n.,The spirit; the soul of man.
Ghostfish,Poisson fantôme,n.,A pale unspotted variety of the wrymouth.
Ghostless,Sans fantôme,a.,Without life or spirit.
Ghostlike,Fantôme,a.,Like a ghost; ghastly.
Ghostliness,Fantôme,n.,The quality of being ghostly.
Ghostly,Fantomatique,a.,"Relating to the soul; not carnal or secular; spiritual; as, a ghostly confessor."
Ghostology,Ghostologie,n.,Ghost lore.
Ghoul,Goule,n.,"An imaginary evil being among Eastern nations, which was supposed to feed upon human bodies."
Ghoulish,Macabre,a.,Characteristic of a ghoul; vampirelike; hyenalike.
Ghyll,Ghyll,n.,A ravine. See Gill a woody glen.
Giallolino,Giallolino,n.,"A term variously employed by early writers on art, though commonly designating the yellow oxide of lead, or massicot."
Giambeux,Giambeux,n. pl.,Greaves; armor for the legs.
Giant,Géant,n.,A man of extraordinari bulk and stature.
Giantess,Géante,n.,A woman of extraordinary size.
Giantize,Géantiser,v. i.,To play the giant.
Giantly,Géant,a.,Appropriate to a giant.
Giantry,Géant,n.,The race of giants.
Giantship,Vaisseau géant,n.,"The state, personality, or character, of a giant; -- a compellation for a giant."
Giaour,Giaour,n.,"An infidel; -- a term applied by Turks to disbelievers in the Mohammedan religion, especially Christrians."
Gib,Gib,n.,A male cat; a tomcat.
Gibbed,Coupé,imp. & p. p.,of Gib
Gibbing,bavardage,p. pr. & vb. n.,of Gib
Gibbartas,Gibbartas,n.,One of several finback whales of the North Atlantic; -- called also Jupiter whale.
Gibber,charabia,n.,A balky horse.
Gibbered,baragouin,imp. & p. p.,of Gibber
Gibbering,bavardage,p. pr. & vb. n.,of Gibber
Gibberish,Charabia,v. i.,Rapid and inarticulate talk; unintelligible language; unmeaning words; jargon.
Gibbet,Gibet,n.,"A kind of gallows; an upright post with an arm projecting from the top, on which, formerly, malefactors were hanged in chains, and their bodies allowed to remain asa warning."
Gibbeted,Gibet,imp. & p. p.,of Gibbet
Gibbeting,gibet,p. pr. & vb. n.,of Gibbet
Gibbier,Gibbier,n.,Wild fowl; game.
Gibbon,Gibbon,n.,"Any arboreal ape of the genus Hylobates, of which many species and varieties inhabit the East Indies and Southern Asia. They are tailless and without cheek pouches, and have very long arms, adapted for climbing."
Gib boom,Boom de largage,,See Jib boom.
Gibbose,Gibbeux,a.,Humped; protuberant; -- said of a surface which presents one or more large elevations.
Gibbostity,Gibbostity,n.,The state of being gibbous or gibbose; gibbousness.
Gibbous,Gibbeux,a.,"Swelling by a regular curve or surface; protuberant; convex; as, the moon is gibbous between the half-moon and the full moon."
Gibbsite,Gibbsite,n.,A hydrate of alumina.
Gib-cat,Gib-chat,n.,"A male cat, esp. an old one. See lst Gib. n."
Gibed,Gibed,imp. & p. p.,of Gibe
Gibing,Gibing,p. pr. & vb. n.,of Gibe
Gibe,Moquerie,v. i.,"To cast reproaches and sneering expressions; to rail; to utter taunting, sarcastic words; to flout; to fleer; to scoff."
Gibel,Gibel,n.,A kind of carp (Cyprinus gibelio); -- called also Prussian carp.
Giber,Railleur,n.,One who utters gibes.
Gibfish,Gibfish,n.,The male of the salmon.
Gibingly,Gibbing,adv.,In a gibing manner; scornfully.
Giblet,Abats,a.,"Made of giblets; as, a giblet pie."
Giblets,Abats,n. pl.,"The inmeats, or edible viscera (heart, gizzard, liver, etc.), of poultry."
Gibstaff,Gibstaff,n.,"A staff to guage water, or to push a boat."
Gid,Dieu,a.,"A disease of sheep, characterized by vertigo; the staggers. It is caused by the presence of the C/nurus, a larval tapeworm, in the brain. See C/nurus."
Giddily,étourdiment,adv.,In a giddy manner.
Giddiness,Vertige,n.,The quality or state of being giddy.
Giddy,Étourdi,superl.,"Having in the head a sensation of whirling or reeling about; having lost the power of preserving the balance of the body, and therefore wavering and inclined to fall; lightheaded; dizzy."
Giddy-head,Étourdissement,n.,"A person without thought fulness, prudence, or judgment."
Giddy-headed,étourdi,a.,Thoughtless; unsteady.
Giddy-paced,Au rythme vertigineux,a.,Moving irregularly; flighty; fickle.
Gie,Gié,v. t.,To guide. See Gye .
Gier-eagle,Gier-aigle,n.,"A bird referred to in the Bible (Lev. xi. 18and Deut. xiv. 17) as unclean, probably the Egyptian vulture (Neophron percnopterus)."
Gier-falcon,Gier-faucon,n.,The gyrfalcon.
Gieseckite,Gieseckite,n.,"A mineral occurring in greenish gray six-sided prisms, having a greasy luster. It is probably a pseudomorph after elaeolite."
Gif,GIF,conj.,If.
Giffard injector,Injecteur Giffard,,See under Injector.
Giffgaff,Giffgaff,n.,Mutial accommodation; mutual giving.
Giffy,Giffy,n.,See Jiffy.
Gift,Cadeau,v. t.,Anything given; anything voluntarily transferred by one person to another without compensation; a present; an offering.
Gifted,Doué,imp. & p. p.,of Gift
Gifting,Donner,p. pr. & vb. n.,of Gift
Giftedness,Surdoué,n.,The state of being gifted.
Gig,Concert,n.,A fiddle.
Gigantean,Gigantesque,a.,Like a giant; mighty; gigantic.
Gigantesque,Gigantesque,a.,Befitting a giant; bombastic; magniloquent.
Gigantic,Gigantesque,a.,Of extraordinary size; like a giant.
Gigantical,Gigantesque,a.,"Bulky, big."
Giganticide,Giganticide,n.,"The act of killing, or one who kills, a giant."
Gigantine,Gigantesque,a.,Gigantic.
Gigantology,Gigantologie,n.,An account or description of giants.
Gigantomachy,Gigantomachie,n.,"A war of giants; especially, the fabulous war of the giants against heaven."
Gide,Gide,n.,Alt. of Guide
Guide,Guider,n.,"The leather strap by which the shield of a knight was slung across the shoulder, or across the neck and shoulder."
Gigeria,Gigeria,pl. ,of Gigerium
Gigerium,Gigerium,n.,"The muscular stomach, or gizzard, of birds."
Gigget,Gigget,n.,Same as Gigot.
Giggled,gloussa,imp. & p. p.,of Giggle
Giggling,Fou rire,p. pr. & vb. n.,of Giggle
Giggle,Pouffer de rire,v. t.,"To laugh with short catches of the breath or voice; to laugh in a light, affected, or silly manner; to titter with childish levity."
Giggler,Souriants,n.,One who giggles or titters.
Giggly,riant,a.,Prone to giggling.
Giggot,gigot,n.,See Gigot.
Giggyng,Giggyng,n.,The act of fastending the gige or leather strap to the shield.
Giglot,Giglot,n.,Alt. of Giglet
Giglet,Giglet,n.,"A wanton; a lascivious or light, giddy girl."
Gigot,Gigot,n.,Alt. of Giggot
Gila monster,Monstre de Gila,,"A large tuberculated lizard (Heloderma suspectum) native of the dry plains of Arizona, New Mexico, etc. It is the only lizard known to have venomous teeth."
Gilded,Doré,imp. & p. p.,of Gild
Gilt,Doré,,of Gild
Gilding,Dorure,p. pr. & vb. n.,of Gild
Gild,Dorer,v. t.,To overlay with a thin covering of gold; to cover with a golden color; to cause to look like gold.
Gildale,Gildale,v. t.,A drinking bout in which every one pays an equal share.
Gilden,Gilden,a.,Gilded.
Gilder,Doreur,n.,One who gilds; one whose occupation is to overlay with gold.
Guilding,Guilde,n.,"The art or practice of overlaying or covering with gold leaf; also, a thin coating or wash of gold, or of that which resembles gold."
Gile,Gilles,n.,Guile.
Gill,Gill,n.,An organ for aquatic respiration; a branchia.
Gill-flirt,Gill-flirt,n.,"A thoughtless, giddy girl; a flirt-gill."
Gillhouse,Gillhouse,n.,A shop where gill is sold.
Gillian,Gillian,n.,"A girl; esp., a wanton; a gill."
Gillie Gilly,Gillie Gilly,n.,"A boy or young man; a manservant; a male attendant, in the Scottish Highlands."
Gillyflower,Giroflée,n.,"A name given by old writers to the clove pink (Dianthus Caryophyllus) but now to the common stock (Matthiola incana), a cruciferous plant with showy and fragrant blossoms, usually purplish, but often pink or white."
Gilour,Gilour,n.,A guiler; deceiver.
Gilse,Gilles,n.,See Grilse.
Gilt-edge,Bordure dorée,a.,Alt. of Gilt-edged
Gilt-edged,Doré sur tranche,a.,"Having a gilt edge; as, gilt-edged paper."
Gilthead,dorade,n.,A marine fish.
Giltif,Giltif,a.,Guilty.
Gilttail,Gilttail,n.,A yellow-tailed worm or larva.
Gim,Gim,a.,Neat; spruce.
Gimbal,Cardan,n.,Alt. of Gimbals
Gimbals,Cardan,n.,"A contrivance for permitting a body to incline freely in all directions, or for suspending anything, as a barometer, ship's compass, chronometer, etc., so that it will remain plumb, or level, when its support is tipped, as by the rolling of a ship. It consists of a ring in which the body can turn on an axis through a diameter of the ring, while the ring itself is so pivoted to its support that it can turn about a diameter at right angles to the first."
Gimblet,vrille,n. & v.,See Gimlet.
Gimcrack,De pacotille,n.,A trivial mechanism; a device; a toy; a pretty thing.
Gimlet,Vrille,n.,"A small tool for boring holes. It has a leading screw, a grooved body, and a cross handle."
Gimleted,vrillé,imp. & p. p.,of Gimlet
Gimleting,vrille,p. pr. & vb. n.,of Gimlet
Gimmal,Gimmal,n.,Joined work whose parts move within each other; a pair or series of interlocked rings.
Gommal,Gommal,a.,"Made or consisting of interlocked ring/ or links; as, gimmal mail."
Gimmer,Gimmer,n.,Alt. of Gimmor
Gimmor,Gimmor,n.,A piece of mechanism; mechanical device or contrivance; a gimcrack.
Gimp,Gimp,a.,Smart; spruce; trim; nice.
Gin,Gin,n.,"Against; near by; towards; as, gin night."
Gon,gon,,of Gin
